commodity,date,level,horizon,scenario,level_lo95,level_hi95
OL,2025-10-29,61.121829328826685,9,Normal,37.79022181489493,98.85832474869815
OL,2025-10-29,61.22911778744022,9,Warm,37.85655580217418,99.03185288749684
OL,2025-10-29,61.0147288659539,9,Cold,37.72400406105992,98.68510067383518
OL,2025-10-29,61.121829328826685,9,Normal,37.79022181489493,98.85832474869815
OL,2025-10-29,61.22911778744022,9,Warm,37.85655580217418,99.03185288749684
OL,2025-10-29,61.0147288659539,9,Cold,37.72400406105992,98.68510067383518
OL,2025-10-30,61.13494642468598,10,Normal,35.82210067964509,104.33451984776951
OL,2025-10-30,61.2452446001247,10,Warm,35.8867300377523,104.5227576372417
OL,2025-10-30,61.02484688813892,10,Cold,35.75758771425252,104.14662106069433
OL,2025-10-30,61.13494642468598,10,Normal,35.82210067964509,104.33451984776951
OL,2025-10-30,61.2452446001247,10,Warm,35.8867300377523,104.5227576372417
OL,2025-10-30,61.02484688813892,10,Cold,35.75758771425252,104.14662106069433
OL,2025-10-31,61.15135409525774,11,Normal,33.95830537004948,110.11998587484729
OL,2025-10-31,61.28373000228121,11,Warm,34.03181578598136,110.35836543695618
OL,2025-10-31,61.0192641267821,11,Cold,33.884953740274774,109.88212122445712
OL,2025-11-01,61.168772833938874,12,Normal,32.19201163218641,116.2281752616247
OL,2025-11-01,61.304142314698154,12,Warm,32.26325412565731,116.48539388815293
OL,2025-11-01,61.03370227093019,12,Cold,32.120926453686145,115.97152461550687
OL,2025-11-02,61.192170085858095,13,Normal,30.520568595528314,122.68715335680899
OL,2025-11-02,61.33351376866042,13,Warm,30.591066006560794,122.9705401702469
OL,2025-11-02,61.05115213095628,13,Cold,30.450233646469567,122.40441961105631
OL,2025-11-03,61.210301179275646,14,Normal,28.933415152150555,129.49390698453908
OL,2025-11-03,61.37453342401441,14,Warm,29.011045871602146,129.8413497288865
OL,2025-11-03,61.04650840395049,14,Cold,28.855992164906517,129.1473939629713
OL,2025-11-04,61.231017928131074,15,Normal,27.429953951539584,136.6840630917164
OL,2025-11-04,61.40956887590188,15,Warm,27.50994027940213,137.08263672050754
OL,2025-11-04,61.052986124876895,15,Cold,27.350200187346015,136.2866483327964
OL,2025-11-05,61.25312315764504,16,Normal,26.005203308225155,144.27670693806635
OL,2025-11-05,61.43862708066838,16,Warm,26.083959573767398,144.71364621166092
OL,2025-11-05,61.06817933348933,16,Cold,25.926684834393342,143.84108693140882
OL,2025-11-06,61.27734941582327,17,Normal,24.655306428069817,152.29636518141055
OL,2025-11-06,61.4794169154794,17,Warm,24.73660948981565,152.79857596585705
OL,2025-11-06,61.07594606160744,17,Cold,24.574270589196693,151.7958050384729
OL,2025-11-07,61.30978127585631,18,Normal,23.378606271475945,160.7832920596099
OL,2025-11-07,61.51555927274879,18,Warm,23.45707340459189,161.32293945494047
OL,2025-11-07,61.104691634633596,18,Cold,23.300401621700225,160.2454498589543
OL,2025-11-08,61.32828647356173,19,Normal,22.162977097797828,169.7045800835564
OL,2025-11-08,61.54884823806659,19,Warm,22.242684287032244,170.314907613968
OL,2025-11-08,61.10851509739644,19,Cold,22.083555541175617,169.0964396763953
OL,2025-11-09,61.33963454988256,20,Normal,21.008104463999505,179.0999646427329
OL,2025-11-09,61.56378347131956,20,Warm,21.084872837198915,179.75443648950306
OL,2025-11-09,61.11630173714047,20,Cold,20.931615598443745,178.44787567677804
