commodity,date,level,horizon,scenario,level_lo95,level_hi95
NG,2025-10-27,3.347502591941561,7,Normal,1.888956157996597,5.932257112277381
NG,2025-10-27,3.358216169026261,7,Warm,1.8950017029521198,5.951243115159543
NG,2025-10-27,3.3368231939353303,7,Cold,1.882929899891187,5.913331679648945
NG,2025-10-27,3.347502591941561,7,Normal,1.888956157996597,5.932257112277381
NG,2025-10-27,3.358216169026261,7,Warm,1.8950017029521198,5.951243115159543
NG,2025-10-27,3.3368231939353303,7,Cold,1.882929899891187,5.913331679648945
NG,2025-10-28,3.3509254691727652,8,Normal,1.7422028593220042,6.445117134247201
NG,2025-10-28,3.362584157014963,8,Warm,1.748264408431788,6.467541270345084
NG,2025-10-28,3.3393072041113405,8,Cold,1.7361623267000195,6.422770746687557
NG,2025-10-28,3.3509254691727652,8,Normal,1.7422028593220042,6.445117134247201
NG,2025-10-28,3.362584157014963,8,Warm,1.748264408431788,6.467541270345084
NG,2025-10-28,3.3393072041113405,8,Cold,1.7361623267000195,6.422770746687557
NG,2025-10-29,3.3538522346116473,9,Normal,1.6066110108326572,7.001274568496747
NG,2025-10-29,3.366644983703485,9,Warm,1.6127391793123707,7.027979844284852
NG,2025-10-29,3.3411080960594197,9,Cold,1.6005061284796758,6.974670768775845
NG,2025-10-29,3.3538522346116473,9,Normal,1.6066110108326572,7.001274568496747
NG,2025-10-29,3.366644983703485,9,Warm,1.6127391793123707,7.027979844284852
NG,2025-10-29,3.3411080960594197,9,Cold,1.6005061284796758,6.974670768775845
NG,2025-10-30,3.354874978768684,10,Normal,1.4807297206861092,7.601107728122715
NG,2025-10-30,3.3685479325347822,10,Warm,1.4867645056301542,7.632086406969314
NG,2025-10-30,3.3412575235938013,10,Cold,1.4747194309658758,7.570254791896415
NG,2025-10-30,3.354874978768684,10,Normal,1.4807297206861092,7.601107728122715
NG,2025-10-30,3.3685479325347822,10,Warm,1.4867645056301542,7.632086406969314
NG,2025-10-30,3.3412575235938013,10,Cold,1.4747194309658758,7.570254791896415
NG,2025-10-31,3.355881050179383,11,Normal,1.3647045684228325,8.252289824139973
NG,2025-10-31,3.3703939921051944,11,Warm,1.370606409951557,8.287977919511029
NG,2025-10-31,3.341430601090861,11,Cold,1.3588281402682008,8.216755401976506
NG,2025-11-01,3.3581284534758793,12,Normal,1.258235749399655,8.962570579817758
NG,2025-11-01,3.3755458736712884,12,Warm,1.2647617715741473,9.009056251817032
NG,2025-11-01,3.340800905122722,12,Cold,1.2517434007329955,8.916324768425515
NG,2025-11-02,3.359002217485655,13,Normal,1.159598474275037,9.730002364937084
NG,2025-11-02,3.379788672189604,13,Warm,1.1667743972425206,9.790214368482438
NG,2025-11-02,3.3383436041176817,13,Cold,1.1524666848354714,9.67016067865289
NG,2025-11-03,3.36001767834196,14,Normal,1.068738696810595,10.563591299222216
NG,2025-11-03,3.382974609547979,14,Warm,1.0760407300403714,10.635765811965982
NG,2025-11-03,3.3372165333156296,14,Cold,1.061486215319707,10.491906564119484
NG,2025-11-04,3.360512402914708,15,Normal,0.9848454933438521,11.466817573384269
NG,2025-11-04,3.385408771107824,15,Warm,0.9921417247145057,11.55176953251487
NG,2025-11-04,3.335799123143441,15,Cold,0.977602918614067,11.382490352770136
NG,2025-11-05,3.3610246943869284,16,Normal,0.9075424115091885,12.447337835697798
NG,2025-11-05,3.387447285685808,16,Warm,0.9146770280044948,12.54519219569135
NG,2025-11-05,3.3348082032195263,16,Cold,0.9004634460808448,12.350246754227255
NG,2025-11-06,3.3629408952766564,17,Normal,0.8366563045257968,13.51734446265139
NG,2025-11-06,3.39102849515598,17,Warm,0.8436441369765658,13.630242599883369
NG,2025-11-06,3.335085942592162,17,Cold,0.829726351695379,13.405381451063533
NG,2025-11-07,3.365987014197297,18,Normal,0.7715657068738505,14.68425628408242
NG,2025-11-07,3.3958795113909477,18,Warm,0.7784177908629332,14.814663528053169
NG,2025-11-07,3.336357648067479,18,Cold,0.7647739388944279,14.55499696016049
NG,2025-11-08,3.3679058106529625,19,Normal,0.7113003866704871,15.946553329633685
NG,2025-11-08,3.400319057285009,19,Warm,0.7181460516500991,16.10002542626109
NG,2025-11-08,3.3358015404844577,19,Cold,0.7045199773988264,15.794544192462556
NG,2025-11-09,3.367784525259078,20,Normal,0.6553450624843898,17.30687123143569
NG,2025-11-09,3.4026487459674666,20,Warm,0.6621293726821599,17.48603666611802
NG,2025-11-09,3.3332775303404647,20,Cold,0.648630265688016,17.129541561689592
